"","camis_ls","phone_ls","id","rating","review_count","lat","lon","price"
"1","9435","+17184748038","ELB1RgCv39PBewQx5gmW7Q","3","10","40.5848875","-73.8194803","$"
"2","20808","+17188506221","lhfgFU9cQIquGaLpSi4r6g","3.5","9","40.6934876","-73.8291999","$$"
"3","16467","+18442253369","xxdEhaTDKmqfLiRcuOS48Q","4","276","40.74693","-73.9833699","$$"
"4","18587","+17183596888","v--4s91RgyWUdWvMH2QZHw","4","197","40.7620607","-73.8148621","$$"
"5","10407","+17189491683","kbb0Q8End2ptzMp0r_Wpng","2.5","17","40.66953","-73.78218","$$"
"6","311","+17186466665","inI34xFWJoIGqw-NZwKitw","3.5","111","40.584262","-73.936714",NA
"7","15376","+16469645183","Q3p1peRm2qHoTcVH90wFzA","2","1","40.6215","-73.90515","$"
"8","23021","+13475248967","cO_7Y6WdMXGpVj00QDWyRQ","2.5","12","40.6914291381836","-73.8668670654297","$$"
"9","10211","+17182777150","MhceeLrM2_3mcKw5EGLY6A","4","2375","40.764291","-73.988159","$"
"10","7461","+12125810999","Q18r5FKi2qkQhtKZqWR8ww","4.5","31","40.64083","-73.94835","$$"
"11","7","+17188560821","wtQHeGI3L04xCJ5jODsRlg","3","440","40.71938","-73.98882","$$"
"12","12882","+12122693460","XfaxQk6prcJUGn7Lw5U1dg","1.5","4","40.63374","-73.88889","$$"
"13","6692","+12122288383","NxpjfoxMypjQvj3iAqO6bQ","3.5","90","40.75133","-73.863099","$$$"
"14","13598","+17186761152","PSnNzN1rrIGM5Oj8Yu20Ew","3","1586","40.7528172354909","-73.9773735668119","$$"
"15","9645","+17182054941","STmm7XwuwrtnPJ9QMqGr9g","3.5","36","40.6841099","-73.9997099","$"
"16","177","+12124906650","lbeC0TUKLfPcT3vC_pw1nQ","3.5","12","40.80345","-73.93792","$$"
"17","17513","+17188570007","1ht9x2hqzpjfk6JaR8r7oA","3.5","60","40.8426181840383","-73.8538535671128","$$"
"18","13681","+12128313999","YbBRqLToyPUlxazqKUNIEA","3","98","40.7258237822755","-73.7910953372955","$$"
"19","10640","+16463268014","iXmDaPsgylG1kHPLli15MQ","3.5","605","40.7298105","-73.9805949","$$"
"20","15820","+17188226888","pfqcq-DAp8tz6PTOYskBzw","3.5","77","40.7297565","-73.9806345","$$"
"21","4253","+17185915800","VNee09tB2NVGTe3g1tFylw","3.5","567","40.73647","-73.986698","$"
